都道府県コード,港コード,都道府県名,港名,緯度,経度,潮汐種別
0,1,千島列島,小泊,50.49,156.3,2
0,2,千島列島,中川湾,50.39,156.24,2
0,3,千島列島,片岡湾,50.43,156.12,1
0,4,千島列島,阿頼度島,50.5,155.39,2
0,5,千島列島,磐城埼,50.45,156.08,2
0,6,千島列島,加熊別湾,50.23,155.35,2
0,7,千島列島,鯨湾,50.17,155.2,2
0,8,千島列島,四岩,50.17,155.55,2
0,9,千島列島,乙前湾,50.11,155.39,2
0,10,千島列島,樺里埼,50.04,155.13,2
0,11,千島列島,潮見浦,49.31,154.44,2
0,12,千島列島,黒石湾,49.29,154.5,2
0,13,千島列島,春牟古丹島,49.1,154.29,2
0,14,千島列島,乙女湾,48.47,154.03,2
0,15,千島列島,東浦,48.47,154.05,2
0,16,千島列島,松輪島,48.05,153.16,2
0,17,千島列島,宇志知島,47.32,152.49,2
0,18,千島列島,武魯頓湾,47.09,152.15,2
0,19,千島列島,新知湾,46.52,151.53,2
0,20,千島列島,沙湾,46.32,150.54,2
0,21,千島列島,鐘湾,46.06,150.1,2
0,22,千島列島,床丹島,45.51,149.44,2
0,23,千島列島,吉野浜,46.12,150.31,2
0,24,千島列島,伽藍埼,45.49,149.57,2
1,1,北海道,蘂取,45.3,148.37,2
1,2,北海道,紗万部,45.2,148.01,2
1,3,北海道,内岡,45.16,147.52,2
1,4,北海道,内保湾,44.46,147.12,2
1,5,北海道,茂世路湾,45.26,148.51,2
1,6,北海道,単冠湾,44.56,147.38,2
1,7,北海道,入里節,44.43,147.21,2
1,8,北海道,ニキシヨロ,44.03,145.44,2
1,9,北海道,古釜府湾,44.02,145.51,2
1,10,北海道,泊湾,43.44,145.27,2
1,11,北海道,水晶島,43.25,145.54,2
1,12,北海道,多楽島,43.38,146.22,2
1,13,北海道,斜古丹,43.52,146.49,2
1,14,北海道,根室,43.2,145.35,2
1,15,北海道,尾岱沼,43.34,145.14,2
1,16,北海道,羅臼,44.01,145.12,2
1,17,北海道,コイセボイ,44.03,144.57,2
1,18,北海道,網走,44.01,144.17,1
1,19,北海道,紋別,44.21,143.22,1
1,20,北海道,雄武,44.35,142.58,2
1,21,北海道,枝幸,44.56,142.36,2
1,22,北海道,浜鬼志別,45.2,142.1,2
1,23,北海道,宗谷岬,45.31,141.57,2
1,24,北海道,稚内,45.25,141.41,1
1,25,北海道,抜海,45.19,141.37,2
1,26,北海道,鴛泊,45.14,141.14,2
1,27,北海道,沓形,45.11,141.08,2
1,28,北海道,船泊,45.27,141.02,2
1,29,北海道,苫前,44.19,141.39,2
1,30,北海道,留萌,43.57,141.38,1
1,31,北海道,浜益,43.36,141.23,2
1,32,北海道,小樽,43.13,141.01,1
1,33,北海道,忍路,43.13,140.51,1
1,34,北海道,神威岬,43.2,140.21,2
1,35,北海道,岩内,42.59,140.3,2
1,36,北海道,寿都,42.47,140.16,2
1,37,北海道,瀬棚,42.28,139.51,2
1,38,北海道,奥尻,42.1,139.31,2
1,39,北海道,青苗,42.04,139.27,2
1,40,北海道,江差,41.52,140.06,2
1,41,北海道,清部,41.32,140,2
1,42,北海道,松前,41.25,140.05,2
1,43,北海道,吉岡,41.27,140.15,1
1,44,北海道,湧元,41.34,140.25,2
1,45,北海道,函館,41.47,140.43,1
1,46,北海道,汐首岬,41.43,140.58,2
1,47,北海道,戸井,41.43,141,2
1,48,北海道,古武井,41.46,141.08,2
1,49,北海道,臼尻,41.56,140.57,2
1,50,北海道,森,42.07,140.36,2
1,51,北海道,有珠湾,42.31,140.46,2
1,52,北海道,室蘭,42.21,140.57,1
1,53,北海道,苫小牧,42.38,141.38,1
1,54,北海道,東静内,42.17,142.28,2
1,55,北海道,三石,42.15,142.33,2
1,56,北海道,浦河,42.1,142.46,1
1,57,北海道,えりも,42.01,143.09,2
1,58,北海道,歌露,41.58,143.12,2
1,59,北海道,襟裳岬,41.56,143.14,2
1,60,北海道,庶野,42.01,143.17,2
1,61,北海道,ルベシベツ,42.12,143.2,2
1,62,北海道,音調津,42.13,143.19,2
1,63,北海道,十勝,42.17,143.2,2
1,64,北海道,釧路,42.58,144.23,1
1,65,北海道,厚岸,43.02,144.51,2
1,66,北海道,厚岸湖,43.02,144.52,2
1,67,北海道,霧多布,43.05,145.08,2
1,68,北海道,落石,43.11,145.31,2
1,69,北海道,花咲,43.17,145.35,1
1,70,北海道,香深,45.18,141.03,2
1,71,北海道,常呂,44.07,144.06,2
1,72,北海道,湧別,44.14,143.38,2
1,73,北海道,利尻,45.08,141.19,2
2,1,青森県,竜飛埼,41.16,140.2,2
2,2,青森県,三厩,41.12,140.25,2
2,3,青森県,袰月,41.13,140.33,2
2,4,青森県,青森,40.5,140.46,1
2,5,青森県,茂浦,40.57,140.52,2
2,6,青森県,小湊,40.57,140.59,2
2,7,青森県,野辺地,40.52,141.07,2
2,8,青森県,大湊,41.15,141.09,1
2,9,青森県,大間,41.32,140.54,2
2,10,青森県,大畑,41.25,141.1,2
2,11,青森県,尻屋岬,41.25,141.26,2
2,12,青森県,尻屋,41.24,141.27,2
2,13,青森県,白糠,41.08,141.24,2
2,14,青森県,泊,41.06,141.23,2
2,15,青森県,八戸,40.32,141.32,1
2,16,青森県,岩崎,40.35,139.54,1
2,17,青森県,深浦,40.39,139.56,1
2,18,青森県,鯵ヶ沢,40.47,140.13,2
2,19,青森県,小泊,41.08,140.18,2
2,20,青森県,関根浜,41.22,141.14,1
2,21,青森県,浅虫,40.54,140.52,1
2,22,青森県,竜飛,41.14,140.24,1
3,1,岩手県,久慈,40.11,141.49,2
3,2,岩手県,宮古,39.38,141.59,1
3,3,岩手県,山田,39.28,141.58,2
3,4,岩手県,釜石,39.16,141.54,1
3,5,岩手県,大船渡,39.03,141.44,1
3,6,岩手県,八木,40.21,141.46,2
3,7,岩手県,茂師,39.5,141.59,2
4,1,秋田県,気仙沼,38.53,141.37,2
